"numero_dpe","date_derniere_modification_dpe","date_visite_diagnostiqueur","date_etablissement_dpe","date_reception_dpe","date_fin_validite_dpe","numero_dpe_remplace","numero_dpe_immeuble_associe","id_rnb","numero_rpls_logement","numero_immatriculation_copropriete","modele_dpe","version_dpe","methode_application_dpe","etiquette_dpe","etiquette_ges","type_batiment","annee_construction","periode_construction","type_installation_chauffage","type_installation_ecs","hauteur_sous_plafond","nombre_appartement","nombre_niveau_immeuble","nombre_niveau_logement","typologie_logement","appartement_non_visite","surface_habitable_immeuble","surface_habitable_logement","surface_tertiaire_immeuble","classe_inertie_batiment","classe_altitude","zone_climatique","adresse_ban","numero_voie_ban","nom_rue_ban","nom_commune_ban","code_postal_ban","code_insee_ban","code_departement_ban","code_region_ban","identifiant_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","score_ban","statut_geocodage","adresse_brut","nom_commune_brut","code_postal_brut","numero_etage_appartement","position_logement_dans_immeuble","nom_residence","complement_adresse_batiment","complement_adresse_logement","indicateur_confort_ete","protection_solaire_exterieure","logement_traversant","presence_brasseur_air","inertie_lourde","isolation_toiture","deperditions_enveloppe","deperditions_ponts_thermiques","deperditions_murs","deperditions_planchers_hauts","deperditions_planchers_bas","deperditions_portes","deperditions_baies_vitrees","deperditions_renouvellement_air","qualite_isolation_enveloppe","qualite_isolation_murs","qualite_isolation_plancher_haut_comble_amenage","qualite_isolation_plancher_haut_comble_perdu","qualite_isolation_plancher_haut_toit_terrasse","qualite_isolation_plancher bas","qualite_isolation_menuiseries","ubat_w_par_m2_k","besoin_chauffage","besoin_ecs","besoin_refroidissement","apport_interne_saison_chauffe","apport_interne_saison_froide","apport_solaire_saison_chauffe","apport_solaire_saison_froide","conso_5_usages_ep","conso_5_usages_par_m2_ep","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","conso_5 usages_ef","conso_5 usages_par_m2_ef","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","emission_ges_5_usages","emission_ges_5_usages par_m2","emission_ges_chauffage","emission_ges_ecs","emission_ges_refroidissement","emission_ges_eclairage","emission_ges_auxiliaires","type_energie_n1","conso_5 usages_ef_energie_n1","conso_chauffage_ef_energie_n1","conso_ecs_ef_energie_n1","cout_total_5_usages_energie_n1","cout_chauffage_energie_n1","cout_ecs_energie_n1","emission_ges_5_usages_energie_n1","emission_ges_chauffage_energie_n1","emission_ges_ecs_energie_n1","type_energie_n2","conso_5 usages_ef_energie_n2","conso_chauffage_ef_energie_n2","conso_ecs_ef_energie_n2","cout_total_5_usages_energie_n2","cout_chauffage_energie_n2","cout_ecs_energie_n2","emission_ges_5_usages_energie_n2","emission_ges_chauffage_energie_n2","emission_ges_ecs_energie_n2","type_energie_n3","conso_5_usages_ef_energie_n3","conso_chauffage_ef_energie_n3","conso_ecs_ef_energie_n3","cout_total_5_usages energie_n3","cout_chauffage_energie_n3","cout_ecs_energie_n3","emission_ges_5_usages_energie_n3","emission_ges_chauffage_energie_n3","emission_ges_ecs_energie_n3","cout_total_5_usages","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_energie_principale_chauffage","type_generateur_chauffage_principal","type_installation_chauffage_n1","type_emetteur_installation_chauffage_n1","configuration_installation_chauffage_n1","description_installation_chauffage_n1","conso_chauffage_installation_chauffage_n1","surface_chauffee_installation_chauffage_n1","facteur_couverture_solaire_installation_chauffage_n1","facteur_couverture_solaire_saisi_installation_chauffage_n1","type_generateur_n1_installation_n1","type_energie_generateur_n1_installation_n1","usage_generateur_n1_installation_n1","description_generateur_chauffage_n1_installation_n1","conso_chauffage_generateur_n1_installation_n1","type_generateur_n2_installation_n1","type_energie_generateur_n2_installation_n1","usage_generateur_n2_installation_n1","description_generateur_chauffage_n2_installation_n1","conso_chauffage_generateur_n2_installation_n1","type_installation_chauffage_n2","type_emetteur_installation_chauffage_n2","configuration_installation_chauffage_n2","description_installation_chauffage_n2","conso_chauffage_installation_chauffage_n2","surface_chauffee_installation_chauffage_n2","facteur_couverture_solaire_installation_chauffage_n2","facteur_couverture_solaire_saisi_installation_chauffage_n2","type_generateur_n1_installation_n2","type_energie_generateur_n1_installation_n2","usage_generateur_n1_installation_n2","description_generateur_chauffage_n1_installation_n2","conso_chauffage_generateur_n1_installation_n2","type_generateur_n2_installation_n2","type_energie_generateur_n2_installation_n2","usage_generateur_n2_installation_n2","description_generateur_chauffage_n2_installation_n2","conso_chauffage_generateur_n2_installation_n2","type_energie_principale_ecs","type_generateur_chauffage_principal_ecs","besoin_ecs_batiment","besoin_ecs_logement","type_installation_ecs_n1","configuration_installation_ecs_n1","description_installation_ecs_n1","conso_ef_installation_ecs_n1"," nombre_logements_desservis_par_installation_ecs_n1","surface_habitable_desservie_par_installation_ecs_n1","type_installation_solaire_n1","production_ecs_solaire_installation_n1","facteur_couverture_solaire_n1","facteur_couverture_solaire_saisi_n1","type_generateur_n1_ecs_n1","type_energie_generateur_n1_ecs_n1","usage_generateur_n1_ecs_n1","description_generateur_n1_ecs_n1","volume_stockage_generateur_n1_ecs_n1","cop_generateur_n1_ecs_n1","conso_ef_generateur_n1_ecs_n1","date_installation_generateur_n1_ecs_n1","type_generateur_n2_ecs_n1","type_energie_generateur_n2_ecs_n1","usage_generateur_n2_ecs_n1","description_generateur_n2_ecs_n1","volume_stockage_generateur_n2_ecs_n1","cop_generateur_n2_ecs_n1","conso_ef_generateur_n2_ecs_n1","date_installation_generateur_n2_ecs_n1","type_ventilation","surface_ventilee","ventilation_posterieure_2012","type_generateur_froid","type_energie_climatisation","periode_installation_generateur_froid","description_generateur_froid","surface_climatisee","conso_refroidissement_annuel","categorie_enr","systeme_production_electricite_origine_renouvelable","presence_production_pv","surface_totale_capteurs_pv","nombre_module","production_electricite_pv_kwhep_par_an","electricite_pv_autoconsommee"
"2284E0389945E","2024-02-06","2022-02-23","2022-02-25","2022-02-26","2032-02-24",,,,,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","F","F","maison",1947,"avant 1948",,,2.5,,,2,,,,318,,"Lourde","inférieur à 400m","H2d","1476 Chemin des Molliards 84220 Gordes","1476","Chemin des Molliards","Gordes","84220","84050","84","93","84050_0560_01476",874578.98,6312910.45,0.47,"adresse géocodée ban à l'adresse","1476 Chemin des Molliards","GORDES",84220,0,,,,,,,,,,,1329.2,45.6,426.7,450.5,79.7,5,136.2,185.6,"insuffisante","insuffisante","insuffisante",,,"insuffisante","insuffisante",1.92,56302.6,2067.5,6114.8,5596153.6,842653.4,7717421.9,3274576.9,82005.8,257,73743.3,5182.1,168.8,1443.2,1468.5,80264.7,252,73743.3,5182.1,73.4,627.5,638.5,25660.7,80,23892.8,1679,4.7,43.3,40.9,"Fioul domestique",78925.4,73743.3,5182.1,7215.4,6741.6,473.7,25571.8,23892.8,1679,"Électricité",1339.3,0,0,337.4,0,0,88.9,0,0,,,,,,,,,,,7552.7,6741.6,473.7,18.5,158.1,160.8,"Fioul domestique","Chaudière fioul standard 1991-2015","installation individuelle","Radiateur monotube avec robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Chaudière individuelle fioul standard installée entre 1991 et 2015. Emetteur(s): radiateur monotube avec robinet thermostatique",73743.3,318,,,"Chaudière fioul standard 1991-2015","Fioul domestique","chauffage + ecs","Fioul - Chaudière fioul standard installée entre 1991 et 2015",73743.3,,,,,,,,,,,,,,,,,,,,,,,,"Fioul domestique","Chaudière fioul standard 1991-2015",,,"installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage, contenance ballon 300 L",5182.1,1,318,"Non affecté",,,,"Chaudière fioul standard 1991-2015","Fioul domestique","chauffage + ecs","Fioul - Chaudière fioul standard installée entre 1991 et 2015",300,,5182.1,,,,,,,,,,,,0,"PAC air/air installée avant 2008","Électricité","Avant 2008","Refroidissement - Electrique - Pompe à chaleur (divisé) - type split",14.5,73.4,"pompe à chaleur",,,,,0,
"2284E0561885G","2024-02-06","2022-03-13","2022-03-20","2022-03-21","2032-03-19",,,,,,"DPE 3CL 2021 méthode logement",2.1,"dpe appartement individuel","C","A","appartement",1978,"1978-1982","individuel","individuel",2.5,1,,1,,,,110.2,,"Légère","inférieur à 400m","H2d","139 Route de Murs 84220 Gordes","139","Route de Murs","Gordes","84220","84050","84","93","84050_0580_00139",876712.29,6315082.49,0.53,"adresse géocodée ban à l'adresse","139, Route de Murs","GORDES",84220,0,,,,,"moyen",1,1,0,0,1,297.3,22.9,113,8.4,0,6.3,34.4,112.1,"moyenne","insuffisante",,"très bonne",,"très bonne","moyenne",0.79,12170,1364.3,0,2503029.9,0,2180681.4,0,17281.8,156,10989.9,5078.5,0,500.1,713.3,7513.8,68,4778.2,2208,0,217.4,310.1,555.9,5,377.5,143.5,0,15,19.8,"Électricité",7513.8,4778.2,2208,1276.3,811.6,375.1,555.9,377.5,143.5,,,,,,,,,,,,,,,,,,,,,1276.3,811.6,375.1,0,36.9,52.7,"Électricité","PAC air/eau installée après 2017","installation individuelle","Radiateur monotube avec robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","PAC air/eau avec programmateur avec réduit (système individuel). Emetteur(s): radiateur monotube avec robinet thermostatique",4778.2,110.2,,,"PAC air/eau installée après 2017","Électricité","chauffage","Electrique - PAC air/eau installée à partir de 2017",4778.2,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 200 L",2208,1,110.2,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",200,,2208,,,,,,,,,,,,0,,,,,,,"pompe à chaleur",,,,,0,
"2284E0926890X","2024-02-06","2021-08-17","2022-04-29","2022-04-30","2032-04-28","2184E0199777Z",,,,,"DPE 3CL 2021 méthode logement",2,"dpe maison individuelle","G","C","maison",1948,"1948-1974",,,2.5,,,1,,,,82,,"Lourde","inférieur à 400m","H2d","Chemin du Four à Chaux 84220 Gordes",,,"Gordes","84220","84050","84","93","84050_0293",879622.47,6314876.36,0.42,"adresse géocodée ban à l'adresse","Chemin des Graveliers
Quartier du Four à Chaux","GORDES",84220,0,,,,,"bon",1,1,0,1,1,497.7,39.9,139,84.4,49.6,18.1,80.5,86.2,"insuffisante","insuffisante","insuffisante",,,"insuffisante","insuffisante",1.54,21433.7,1053.8,0,1883975.5,0,4085443,0,47129.3,574,42446.6,4310.6,0,372.1,0,44482.6,542,42446.6,1874.2,0,161.8,0,1406.4,17,1273.4,121.8,0,11.2,0,"Bois – Bûches",42446.6,42446.6,0,1358.7,1358.7,0,1273.4,1273.4,0,"Électricité",2036,0,1874.2,435.4,0,400.8,133,0,121.8,,,,,,,,,,,1794.1,1358.7,400.8,0,34.6,0,"Bois – Bûches","insert installé avant 1990","installation individuelle","Poêle bois","Installation de chauffage simple","Insert  (système individuel)",42446.6,82,,,"insert installé avant 1990","Bois – Bûches","chauffage","Bois - Insert installé avant 1990",42446.6,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 200 L",1874.2,1,82,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",200,,1874.2,,,,,,,,,,,,0,,,,,,,"chauffage au bois",,,,,0,
"2284E0033544L","2024-02-06","2022-01-05","2022-01-06","2022-01-07","2032-01-05","2284E0007000N",,,,,"DPE 3CL 2021 méthode logement",2,"dpe maison individuelle","D","B","maison",1975,"1975-1977",,,2.5,,,1,,,,189,,"Moyenne","inférieur à 400m","H2d","1072 Route de Goult 84220 Gordes","1072","Route de Goult","Gordes","84220","84050","84","93","84050_0330_01072",879148.49,6313905.95,0.51,"adresse géocodée ban à l'adresse","Les Bessons; 1072 route de Goult","GORDES",84220,0,,,,,,,,,,,1032.8,123.1,486.4,74.2,50.7,9.6,111.1,177.7,"insuffisante","insuffisante","insuffisante",,,"insuffisante","insuffisante",1.51,46412.2,1513.4,3685.8,3469072.1,522363.4,4178755.1,1905110.6,47141.7,249,36623.9,7151.7,1198.7,857.7,1309.6,20496.4,108,15923.4,3109.5,521.2,372.9,569.4,1555.6,8,1258,202.1,33.4,25.7,36.4,"Électricité",20496.4,15923.4,3109.5,3333.2,2589.5,505.7,1555.6,1258,202.1,,,,,,,,,,,,,,,,,,,,,3333.2,2589.5,505.7,84.8,60.6,92.6,"Électricité","PAC air/air installée à partir de 2015","installation individuelle","Soufflage d'air chaud (air soufflé) avec distribution par réseau aéraulique","Installation de chauffage simple","PAC air/air installée à partir de 2015 (système individuel)",15923.4,189,,,"PAC air/air installée à partir de 2015","Électricité","chauffage","Electrique - PAC air/air installée à partir de 2015",15923.4,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 200 L",1554.7,1,94.5,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",200,,1554.7,,,,,,,,,,,,0,"PAC air/air installée à partir de 2015","Électricité","A partir de 2015","Refroidissement - Pompe à chaleur air/air",189,521.2,"pompe à chaleur",,,,,0,
"2284E1085006H","2024-12-30","2022-05-17","2022-05-17","2022-05-18","2032-05-16",,,"2S8RRNJTNNGH",,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","E","E","maison",,"avant 1948",,,2.3,,,2,,,,330,,"Lourde","inférieur à 400m","H2d","3283 Route de Saint Pantaleon 84220 Gordes","3283","Route de Saint Pantaleon","Gordes","84220","84050","84","93","84050_0803_03283",877445.33,6311595.01,0.51,"adresse géocodée ban à l'adresse","3283, Route de Saint Pantaléon","GORDES",84220,0,,,,"Ce bien ne fait pas partie d'une copropriété","bon",1,1,0,1,1,1072.7,30.4,242.3,368.7,104.1,13.1,76.6,237.5,"insuffisante","insuffisante","insuffisante",,,"insuffisante","insuffisante",1.28,48641.7,2119.1,0,5794021.7,0,1467847.8,0,79978.7,242,66947,10627.7,0,1497.6,906.4,75793.2,229,66947,7801,0,651.1,394.1,16685.7,50,15197,1418.6,0,44.9,25.2,"Gaz naturel",72573.6,66947,5626.6,4888.4,4509.4,379,16474.2,15197,1277.2,"Électricité",3219.6,0,2174.4,610.6,0,412.4,211.5,0,141.3,,,,,,,,,,,5499,4509.4,791.4,0,123.5,74.7,"Gaz naturel","Chaudière gaz classique avant 1981","installation individuelle","Radiateur bitube avec robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Chaudière individuelle gaz classique installée avant 1981 avec programmateur avec réduit. Emetteur(s): radiateur bitube avec robinet thermostatique",66947,330,,,"Chaudière gaz classique avant 1981","Gaz naturel","chauffage + ecs","Gaz Naturel - Chaudière gaz classique installée avant 1981",66947,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz classique avant 1981",,,"installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage, contenance ballon 300 L",5626.6,1,110,"Non affecté",,,,"Chaudière gaz classique avant 1981","Gaz naturel","chauffage + ecs","Gaz Naturel - Chaudière gaz classique installée avant 1981",300,,5626.6,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2284E0854447Q","2024-02-06","2022-04-12","2022-04-21","2022-04-22","2032-04-20",,,,,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","C","A","maison",1948,"1948-1974",,,2.5,,,2,,,,178.5,,"Légère","inférieur à 400m","H2d","248 Chemin de l'Hôpital 84220 Gordes","248","Chemin de l'Hôpital","Gordes","84220","84050","84","93","84050_0350_00248",876776.02,6315275.47,0.41,"adresse géocodée ban à l'adresse","Les Barres
248, Chemin de L'Hôpital","GORDES",84220,0,,,,,"insuffisant",0,1,0,0,1,528.3,6.7,140.5,75.2,22.2,10.5,112.6,160.5,"moyenne","insuffisante","insuffisante",,,"moyenne","insuffisante",0.78,20333.7,1468.3,5090.3,3642452.3,1458114.4,7396036.1,3712779.7,21425.3,120,15605.2,1578.8,2802.3,810.1,628.9,9315.3,52,6784.9,686.5,1218.4,352.2,273.4,700.4,3,536,44.6,78,24.3,17.5,"Électricité",9315.3,6784.9,686.5,1559.8,1136.1,114.9,700.4,536,44.6,,,,,,,,,,,,,,,,,,,,,1559.8,1136.1,114.9,204,59,45.8,"Électricité","PAC air/eau installée après 2017","installation individuelle","Radiateur monotube avec robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","PAC air/eau avec programmateur avec réduit (système individuel). Emetteur(s): plancher chauffant, radiateur monotube avec robinet thermostatique",6033.6,161,,,"PAC air/eau installée après 2017","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",6033.6,,,,,,"installation individuelle","Soufflage d'air chaud (air soufflé) avec distribution par réseau aéraulique","Installation de chauffage simple","PAC air/air (système individuel)",751.2,17.5,,,"PAC air/air installée à partir de 2015","Électricité","chauffage","Electrique - PAC air/air installée à partir de 2015",751.2,,,,,,"Électricité","PAC double service après 2014",,,"installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage",686.5,1,178.5,"Non affecté",,,,"PAC double service après 2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",0,2.3,686.5,"A partir de 2015",,,,,,,,,,,0,"PAC air/eau installée avant 2008","Électricité","Avant 2008","Refroidissement  1 - Electrique - Pompe à chaleur air/eau",161,1147.8,"pompe à chaleur",,,,,0,
"2284E0503552R","2024-02-06","2022-03-10","2022-03-12","2022-03-13","2032-03-11",,,,,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","F","F","maison",1947,"avant 1948",,,2.5,,,2,,,,150,,"Lourde","inférieur à 400m","H2d","Hameau les Bouilladoires 84220 Gordes",,,"Gordes","84220","84050","84","93","84050_m9a0nm",876474.31,6310917.62,0.35,"adresse géocodée ban à l'adresse","Hameau les Bouilladoires","GORDES",84220,0,,,,,,,,,,,757.3,23.1,278.1,188.7,30.7,0,58.4,178.3,"insuffisante","insuffisante",,"insuffisante",,"insuffisante","insuffisante",1.6,34788.2,1345.9,2088,2826001,425531.5,2095008.6,823173.5,53624.5,357,48531.2,3273.1,176.1,680.7,963.4,51520.9,343,48531.2,2198.4,76.6,296,418.9,13679.4,91,13200.5,426.8,4.9,20.4,26.8,"GPL",49902.8,48531.2,1371.7,7138.6,6942.4,196.2,13573.6,13200.5,373.1,"Électricité",1618.1,0,826.7,376.6,0,192.4,105.9,0,53.7,,,,,,,,,,,7515.2,6942.4,388.6,17.8,68.9,97.5,"GPL","Chaudière gpl/propane/butane standard 2001-2015","installation individuelle","Radiateur monotube sans robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Chaudière individuelle GPL/propane/butane standard installée entre 2001 et 2015. Emetteur(s): radiateur monotube sans robinet thermostatique",48531.2,150,,,"Chaudière gpl/propane/butane standard 2001-2015","GPL","chauffage + ecs","GPL - Chaudière GPL/propane/butane standard installée entre 2001 et 2015",48531.2,,,,,,,,,,,,,,,,,,,,,,,,"GPL","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage",1371.7,1,75,"Non affecté",,,,"Chaudière gpl/propane/butane standard 2001-2015","GPL","chauffage + ecs","GPL - Chaudière GPL/propane/butane standard installée entre 2001 et 2015",0,,1371.7,,,,,,,,,,,,0,"PAC air/air installée avant 2008","Électricité","Avant 2008","Refroidissement - Electrique - Pompe à chaleur (divisé) - type split",20.9,76.6,"pompe à chaleur",,,,,0,
"2284E1167455K","2024-12-30","2022-05-24","2022-05-27","2022-05-28","2032-05-26",,,"WHRZEPDAD9JK",,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","E","B","maison",1988,"1983-1988",,,2.5,,,1,,,,115,,"Légère","inférieur à 400m","H2d","140 Chemin des Graveliers 84220 Gordes","140","Chemin des Graveliers","Gordes","84220","84050","84","93","84050_0337_00140",874858.32,6312289.53,0.44,"adresse géocodée ban à l'adresse","140, Chemin des Graveliers","GORDES",84220,0,,,,,"moyen",1,1,0,0,1,339.9,36.2,82.6,36.8,30.6,7,40.6,106.1,"moyenne","insuffisante","moyenne",,,"moyenne","moyenne",0.65,15793,1195.6,932.1,2485319.9,994901.3,442919.2,229732.9,34155.4,297,28894.5,4661.2,77.8,521.9,0,21979.6,191,19692.2,2026.6,33.8,226.9,0,1087.2,9,937.6,131.7,2.2,15.7,0,"Bois – Bûches",12613.6,12613.6,0,403.8,403.8,0,378.4,378.4,0,"Électricité",9366,7078.6,2026.6,1567.7,1184.9,339.2,708.8,559.2,131.7,,,,,,,,,,,1971.5,1588.6,339.2,5.7,38,0,"Bois – Bûches","Poêle bûche installé à partir de 2005 sans label flamme verte","installation individuelle","Poêle bois","Installation de chauffage simple","Poêle à bois (bûche) installé à partir de 2005 sans label flamme verte (système individuel)",12613.6,55,,,"Poêle bûche installé à partir de 2005 sans label flamme verte","Bois – Bûches","chauffage","Bois - Poêle à bois (bûche) installé à partir de 2005 sans label flamme verte",12613.6,,,,,,"installation individuelle","Panneau rayonnant NFC, NF** et NF***","Installation de chauffage simple","Panneau rayonnant électrique NFC, NF** et NF*** (système individuel)",7078.6,60,,,"Panneau rayonnant électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Panneau rayonnant électrique NFC, NF** et NF***",7078.6,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 200 L",2026.6,1,115,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",200,,2026.6,,,,,,,,,,,,0,"PAC air/air installée avant 2008","Électricité","Avant 2008","Refroidissement - Electrique - Pompe à chaleur (divisé) - type split",16.7,33.8,"Il existe plusieurs descriptifs ENR",,,,,0,
"2284E1404514B","2024-12-30","2022-06-21","2022-06-21","2022-06-22","2032-06-20",,,"NGEP88V76KSF",,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","G","C","maison",,"1948-1974",,,2.5,,,1,,,,60,,"Lourde","inférieur à 400m","H2d","543 Chemin de Soubeyran 84220 Gordes","543","Chemin de Soubeyran","Gordes","84220","84050","84","93","84050_0840_00543",877590.3,6314488.85,0.46,"adresse géocodée ban à l'adresse","543, Chemin de Soubeyran","GORDES",84220,0,,,,,"insuffisant",0,1,0,1,0,627,35,264.1,150,37.1,13.3,51.1,76.4,"insuffisante","insuffisante","insuffisante",,,"insuffisante","insuffisante",2.26,30531.3,894.9,0,1447288.1,0,2411865.7,0,49515.2,825,47715,1527.9,0,272.3,0,21528.3,358,20745.7,664.3,0,118.4,0,1690.3,28,1638.9,43.2,0,8.2,0,"Électricité",21528.3,20745.7,664.3,3498.2,3371,107.9,1690.3,1638.9,43.2,,,,,,,,,,,,,,,,,,,,,3498.2,3371,107.9,0,19.2,0,"Électricité","Panneau rayonnant électrique NFC, NF** et NF***","installation individuelle","Panneau rayonnant NFC, NF** et NF***","Installation de chauffage simple","Panneau rayonnant électrique NFC, NF** et NF*** (système individuel)",20745.7,60,,,"Panneau rayonnant électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Panneau rayonnant électrique NFC, NF** et NF***",20745.7,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS avec solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 200 L, couplé avec un système solaire",664.3,1,60,"ECS solaire seule sup 5 ans",1039010.3,0.6,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",200,,664.3,,,,,,,,,,,,0,,,,,,,"panneaux solaires thermiques",,,,,0,
"2284E1292294X","2024-12-12","2022-06-09","2022-06-11","2022-06-12","2032-06-10",,,"45K4KM54PCK6",,,"DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","D","B","maison",,"avant 1948",,,2.5,,,2,,,,191.5,,"Lourde","inférieur à 400m","H2d","574 Avenue Justin Bonfils 84220 Gordes","574","Avenue Justin Bonfils","Gordes","84220","84050","84","93","84050_0460_00574",875952,6313405.38,0.53,"adresse géocodée ban à l'adresse","574, Avenue Justin Bonfils","GORDES",84220,0,,,,,"insuffisant",0,1,0,1,0,983.7,24.2,358.2,214.3,59.4,6.3,90.1,231.2,"insuffisante","insuffisante",,"insuffisante",,"insuffisante","insuffisante",1.57,45427.9,1524.2,2684.2,3510294.6,528570.5,2433828,1073007.1,45798.2,239,37136.1,6214.9,872.9,869.1,705.2,19912.3,103,16146.1,2702.1,379.5,377.9,306.6,1521.2,7,1275.5,175.6,24.3,26.1,19.6,"Électricité",19912.3,16146.1,2702.1,3239.8,2627,439.6,1521.2,1275.5,175.6,,,,,,,,,,,,,,,,,,,,,3239.8,2627,439.6,61.8,61.5,49.9,"Électricité","PAC air/air installée à partir de 2015","installation individuelle","Soufflage d'air chaud (air soufflé) avec distribution par réseau aéraulique","Installation de chauffage simple","PAC air/air installée à partir de 2015 (système individuel)",16146.1,191.5,,,"PAC air/air installée à partir de 2015","Électricité","chauffage","Electrique - PAC air/air installée à partir de 2015",16146.1,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 300 L",2702.1,1,191.5,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",300,,2702.1,,,,,,,,,,,,0,"PAC air/air installée à partir de 2015","Électricité","A partir de 2015","Refroidissement - Electrique - Pompe à chaleur (divisé) - type split",191.5,379.5,"pompe à chaleur",,,,,0,
