building_id,latitude,longitude,Energy_Consumption,CO2_Usage,Water_Usage,Energy_Intensity,CO2_Intensity,true_energy_label,true_ges_label,adresse_ban,numero_voie_ban,nom_rue_ban,code_postal_ban,nom_commune_ban,identifiant_ban,adresse_brut,nom_commune_brut,code_postal_brut,annee_construction,surface_habitable_immeuble,log1p_Energy_Consumption,log1p_CO2_Usage,log1p_Energy_Intensity,log1p_CO2_Intensity,city,year,PC1,PC2,cluster
2284E0389945E,43.89358096465638,5.172844994218814,76156.78536207498,27376.914239696318,23003.480774474883,239.10274269065846,85.35048300224489,E,F,1476 Chemin des Molliards 84220 Gordes,1476,Chemin des Molliards,84220,Gordes,84050_0560_01476,1476 Chemin des Molliards,GORDES,84220,1947.0,,11.240562590288183,10.217491917697352,5.481066926280075,4.458414398117807,gordes,2025,3.694835408179977,-0.6344833577306274,1
2284E0561885G,43.912588977631785,5.2001359909824005,7433.507721270059,576.2424412783737,2045.7043970017971,67.27335370203679,5.182968531016133,C,A,139 Route de Murs 84220 Gordes,139,Route de Murs,84220,Gordes,84050_0580_00139,"139, Route de Murs",GORDES,84220,1978.0,,8.913887645709616,6.35826235378486,4.223519554319682,1.8217985009655713,gordes,2025,-1.8329619797222982,-0.11370321616340211,3
2284E0926890X,43.90999902455921,5.236276973805379,45123.92599638278,1356.1732798725445,12978.890333396703,549.8142619819764,16.392879520643667,G,C,Chemin du Four à Chaux 84220 Gordes,,,84220,Gordes,84050_0293,"Chemin des Graveliers
Quartier du Four à Chaux",GORDES,84220,1948.0,,10.717190055664481,7.213159345030258,6.311397659732741,2.8560608995144077,gordes,2025,1.8230027594835445,0.9582653501991956,2
2284E0033544L,43.90139001736793,5.2300380133534565,21263.365331238012,1431.857882052801,5974.3238888948745,112.0413075356504,7.363630146838782,D,B,1072 Route de Goult 84220 Gordes,1072,Route de Goult,84220,Gordes,84050_0330_01072,Les Bessons; 1072 route de Goult,GORDES,84220,1975.0,,9.964787961544623,7.267426247789827,4.7277533053268055,2.123892560937639,gordes,2025,-0.2124882659888117,-0.4980388822757715,0
2284E1085006H,43.88103199042656,5.2080440122579,82611.80614025975,16324.41485765453,23365.044891411577,249.60159494676944,48.91738092394844,E,E,3283 Route de Saint Pantaleon 84220 Gordes,3283,Route de Saint Pantaleon,84220,Gordes,84050_0803_03283,"3283, Route de Saint Pantaléon",GORDES,84220,,,11.32191998550959,9.700478366235496,5.523864406953963,3.910369257219035,gordes,2025,3.1409798775382742,-0.7275971099522248,1
2284E0854447Q,43.914309036122795,5.200995997869147,9492.80735834341,653.2242481441824,2775.9319192383027,52.99088409754462,2.797933672804893,C,A,248 Chemin de l'Hôpital 84220 Gordes,248,Chemin de l'Hôpital,84220,Gordes,84050_0350_00248,"Les Barres
248, Chemin de L'Hôpital",GORDES,84220,1948.0,,9.15839500802099,6.483450179755477,3.9888152193053217,1.3344571485211438,gordes,2025,-2.0349965684808553,-0.7673362533079962,3
2284E0503552R,43.87518199372987,5.195733023242349,51688.210441115596,13575.690956030032,14969.6628736127,344.1138679895469,90.31009232851828,F,F,Hameau les Bouilladoires 84220 Gordes,,,84220,Gordes,84050_m9a0nm,Hameau les Bouilladoires,GORDES,84220,1947.0,,10.8530043431869,9.516109701024801,5.843874414719747,4.514261321782247,gordes,2025,3.4650025357161014,0.24201154969273003,1
2284E1167455K,43.88792600090657,5.1761070343019755,22489.08594044301,1076.9108241783272,6420.544458183088,195.42736968027694,8.914824703462974,E,B,140 Chemin des Graveliers 84220 Gordes,140,Chemin des Graveliers,84220,Gordes,84050_0337_00140,"140, Chemin des Graveliers",GORDES,84220,1988.0,,10.02082986621965,6.982780024650445,5.280292743035326,2.2940310818823333,gordes,2025,0.16619125514911035,0.20601863742998983,2
2284E1404514B,43.90702796785131,5.210854968230531,20532.897584791932,1669.6122590308662,5891.294369893481,341.4471804720072,27.65730536168979,G,C,543 Chemin de Soubeyran 84220 Gordes,543,Chemin de Soubeyran,84220,Gordes,84050_0840_00543,"543, Chemin de Soubeyran",GORDES,84220,,,9.929832340254768,7.420945460395484,5.836117428209544,3.355408397103645,gordes,2025,1.4226925961434798,1.1307967391167104,2
2284E1292294X,43.89769199651295,5.190095957921548,20259.48152526418,1531.6118193210607,6246.150845934809,104.79585969989455,7.047911343181321,D,A,574 Avenue Justin Bonfils 84220 Gordes,574,Avenue Justin Bonfils,84220,Gordes,84050_0460_00574,"574, Avenue Justin Bonfils",GORDES,84220,,,9.916427544808696,7.334728630447753,4.661511385387154,2.08541259729041,gordes,2025,-0.34156135648108027,-0.5665079699531873,0
2284E0854809O,43.914309036122795,5.200995997869147,9422.924719379287,750.9858139613443,2922.613880219964,52.26774843082657,4.018115644522976,C,A,248 Chemin de l'Hôpital 84220 Gordes,248,Chemin de l'Hôpital,84220,Gordes,84050_0350_00248,"Les Barres
248, Chemin de L'Hôpital",GORDES,84220,1948.0,,9.151006917678147,6.622717459358799,3.9753310529214283,1.613054493617891,gordes,2025,-1.8019541412792917,-0.6854467271157366,3
