building_id,latitude,longitude,Energy_Consumption,CO2_Usage,Water_Usage,Energy_Intensity,CO2_Intensity,true_energy_label,true_ges_label,adresse_ban,numero_voie_ban,nom_rue_ban,code_postal_ban,nom_commune_ban,identifiant_ban,adresse_brut,nom_commune_brut,code_postal_brut,annee_construction,surface_habitable_immeuble,log1p_Energy_Consumption,log1p_CO2_Usage,log1p_Energy_Intensity,log1p_CO2_Intensity,city,year,PC1,PC2,cluster
2284E0389945E,43.89358096465638,5.172844994218814,80264.7,25660.7,24079.41,252.0,80.0,F,F,1476 Chemin des Molliards 84220 Gordes,1476,Chemin des Molliards,84220,Gordes,84050_0560_01476,1476 Chemin des Molliards,GORDES,84220,1947.0,,11.293097660486804,10.152754886949408,5.53338948872752,4.394449154672439,gordes,2024,3.694835408179977,-0.6344833577306274,1
2284E0561885G,43.912588977631785,5.2001359909824005,7513.8,555.9,2254.14,68.0,5.0,C,A,139 Route de Murs 84220 Gordes,139,Route de Murs,84220,Gordes,84050_0580_00139,"139, Route de Murs",GORDES,84220,1978.0,,8.924629688393145,6.322385690595623,4.23410650459726,1.791759469228055,gordes,2024,-1.8329619797222982,-0.11370321616340211,3
2284E0926890X,43.90999902455921,5.236276973805379,44482.6,1406.4,13344.779999999999,542.0,17.0,G,C,Chemin du Four à Chaux 84220 Gordes,,,84220,Gordes,84050_0293,"Chemin des Graveliers
Quartier du Four à Chaux",GORDES,84220,1948.0,,10.702875860901182,7.249499309532449,6.297109319933935,2.8903717578961645,gordes,2024,1.8230027594835445,0.9582653501991956,2
2284E0033544L,43.90139001736793,5.2300380133534565,20496.4,1555.6,6148.92,108.0,8.0,D,B,1072 Route de Goult 84220 Gordes,1072,Route de Goult,84220,Gordes,84050_0330_01072,Les Bessons; 1072 route de Goult,GORDES,84220,1975.0,,9.928053327814695,7.3502592345252875,4.6913478822291435,2.1972245773362196,gordes,2024,-0.2124882659888117,-0.4980388822757715,0
2284E1085006H,43.88103199042656,5.2080440122579,75793.2,16685.7,22737.96,229.0,50.0,E,E,3283 Route de Saint Pantaleon 84220 Gordes,3283,Route de Saint Pantaleon,84220,Gordes,84050_0803_03283,"3283, Route de Saint Pantaléon",GORDES,84220,,,11.23577705155248,9.722367273918536,5.438079308923196,3.9318256327243257,gordes,2024,3.1409798775382742,-0.7275971099522248,1
2284E0854447Q,43.914309036122795,5.200995997869147,9315.3,700.4,2794.5899999999997,52.0,3.0,C,A,248 Chemin de l'Hôpital 84220 Gordes,248,Chemin de l'Hôpital,84220,Gordes,84050_0350_00248,"Les Barres
248, Chemin de L'Hôpital",GORDES,84220,1948.0,,9.139520833147824,6.5530783377060775,3.970291913552122,1.3862943611198906,gordes,2024,-2.0349965684808553,-0.7673362533079962,3
2284E0503552R,43.87518199372987,5.195733023242349,51520.9,13679.4,15456.27,343.0,91.0,F,F,Hameau les Bouilladoires 84220 Gordes,,,84220,Gordes,84050_m9a0nm,Hameau les Bouilladoires,GORDES,84220,1947.0,,10.849762238980214,9.52371943051515,5.840641657373398,4.5217885770490405,gordes,2024,3.4650025357161014,0.24201154969273003,1
2284E1167455K,43.88792600090657,5.1761070343019755,21979.6,1087.2,6593.879999999999,191.0,9.0,E,B,140 Chemin des Graveliers 84220 Gordes,140,Chemin des Graveliers,84220,Gordes,84050_0337_00140,"140, Chemin des Graveliers",GORDES,84220,1988.0,,9.997915525128262,6.992280234051825,5.2574953720277815,2.302585092994046,gordes,2024,0.16619125514911035,0.20601863742998983,2
2284E1404514B,43.90702796785131,5.210854968230531,21528.3,1690.3,6458.49,358.0,28.0,G,C,543 Chemin de Soubeyran 84220 Gordes,543,Chemin de Soubeyran,84220,Gordes,84050_0840_00543,"543, Chemin de Soubeyran",GORDES,84220,,,9.977170077056982,7.433252742979996,5.883322388488279,3.367295829986474,gordes,2024,1.4226925961434798,1.1307967391167104,2
2284E1292294X,43.89769199651295,5.190095957921548,19912.3,1521.2,5973.69,103.0,7.0,D,B,574 Avenue Justin Bonfils 84220 Gordes,574,Avenue Justin Bonfils,84220,Gordes,84050_0460_00574,"574, Avenue Justin Bonfils",GORDES,84220,,,9.899143129180269,7.327911935833291,4.6443908991413725,2.0794415416798357,gordes,2024,-0.34156135648108027,-0.5665079699531873,0
2284E0854809O,43.914309036122795,5.200995997869147,9915.5,747.6,2974.65,55.0,4.0,C,A,248 Chemin de l'Hôpital 84220 Gordes,248,Chemin de l'Hôpital,84220,Gordes,84050_0350_00248,"Les Barres
248, Chemin de L'Hôpital",GORDES,84220,1948.0,,9.201955315441742,6.618204795470328,4.02535169073515,1.6094379124341003,gordes,2024,-1.8019541412792917,-0.6854467271157366,3
2284E1084851I,43.88103199042656,5.2080440122579,22290.9,4595.5,6687.27,353.0,72.0,F,F,3283 Route de Saint Pantaleon 84220 Gordes,3283,Route de Saint Pantaleon,84220,Gordes,84050_0803_03283,"3283, Route de Saint Pantaléon",GORDES,84220,,,10.011978662765136,8.43305042330381,5.869296913133774,4.290459441148391,gordes,2024,2.385472245996069,1.1089837438833166,1
